test_file,n_test,MAE,RMSE,R2
B0005.mat,168,0.037675849428666766,0.04481143652589442,0.807972946251959
B0006.mat,168,0.06732775513444908,0.07187945597259737,0.6610440354334844
B0007.mat,168,0.03174852745166975,0.04152727514330588,0.7605124424143356
B0018.mat,132,0.03168134113342674,0.03778894817122272,0.7936019220034205
